310530,Iowa Wireless USA
310560,AT&T
310570,Chinook
310610,Epic Touch
310630,USA AmeriLink
310660,T-Mobile
310670,Wireless 2000 PCS
310680,AT&T
310690,Limitless Mobile
310700,USABIGFOOT
310710,USA ASTAC
310730,U.S.Cellular
310740,USA OTZ
310760,PTSI
310770,Iowa Wireless USA
310780,AirLink PCS
310790,Pinpoint
310800,T-Mobile
310840,telna Mobile
310870,US
310880,USAACSI
310900,Texas Cellular
310950,USA XIT Wireless
310980,AT&T
310990,Worldcall
311000,USA Mid-Tex Cellular  Lt
31101,Wilkes USA
31105,Wilkes USA
311030,Indigo
311040,USA - Commnet
31170,USAEC
31173,USA Proximiti
31180,Pine Cellular
311090,USASXLP
311110,High Plains
311130,Cell One Amarillo
311140,Sprocket
311150,Wilkes USA
311180,AT&T
311190,USAC1ECI
311210,FARMERS
311240,USACWCI
311250,USA i CAN
311260,SLO Cellular
311310,Lamar Cellular
311311,USANCW
311330,BTW
311360,Stelera Wireless
311370,GCI
311480,Verizon
311500,MOSAIC
311530,USANW
311540,USA Proximiti
311580,U.S.Cellular
311660,Metro PCS
311710,Northeast Wireless
311730,USA Proximiti
311740,TCI
311810,Bluegrass Wireless
312060,CoverageCo
312180,Limitless Mobile
312230,SRT Wireless
312260,USACL
312480,Sagebrush
312630,NetGenuity
330110,PR Claro
330120,Open Mob PRI
332011,Blue Sky
334003,Movistar
334020,TELCEL
334050,Iusacell GSM
33450,Iusacell 4G
33490,Nextel 3G
33850,Digicel
33870,CLARO
338180,LIME
34001,F-Orange
34002,Only
34020,Digicel
342600,LIME
342750,DIGICEL
344030,APUA imobile
344920,LIME
344930,Cingular
346140,LIME
348170,LIME
348570,CCT Boatphone
350000,CELLONE
350002,BTC MOBILITY LTD.
35002,M3 WIRELESS
350010,Cingular
35230,DIGICEL
352110,LIME
354860,LIME
356110,LIME
358050,DIGICEL
358110,LIME
36070,DIGICEL
360110,LIME
36251,Telcell GSM
36269,Digicel
36278,Kla
36291,CHIPPIE
36301,SETAR
36302,AW Digicel
364039,BTC
365840,LIME
366020,Cingular
366110,LIME
36801,CUBACEL
370001,Orange
370002,CLARO DOM
37004,Viva DO
37203,Natcom
37412,TSTT
376350,LIME
376352,IslandCom TCI
376360,IslandCom TCI
40001,AZEAC
40002,BAKCELL AZ
40004,AZ Nar
40101,Beeline KZ
40102,Kcell
40107,ALTEL
40177,Tele2
40211,BT B-Mobile
40277,TASHICELL
40401,Vodafone IN
40402,IND airtel
40403,IND airtel
40404,IDEA
40405,Vodafone IN
40407,IDEA
40409,Reliance
40410,IND airtel
40411,Vodafone IN
40412,IDEA
40413,Vodafone IN
40414,IDEA
40415,Vodafone IN
40416,IND airtel
40418,Reliance
40419,IDEA
40420,Vodafone IN
40422,IDEA
40424,IDEA
40427,Vodafone IN
40430,Vodafone IN
40431,IND airtel
40434,CellOne
40436,Reliance
40438,CellOne
40440,IND airtel
40442,AIRCEL
40443,Vodafone IN
40444,IDEA
40445,IND airtel
40446,Vodafone IN
40449,IND airtel
40450,Reliance
40451,CellOne
40452,Reliance
40453,CellOne
40454,CellOne
40455,CellOne
40456,IDEA
40457,CellOne
40458,CellOne
40459,CellOne
40460,Vodafone IN
40462,CellOne
40464,CellOne
40466,CellOne
40467,Reliance
40468,IN-DOLPHIN
40469,IN-DOLPHIN
40470,IND airtel
40471,CellOne
40472,CellOne
40473,CellOne
40474,CellOne
40475,CellOne
40476,CellOne
40477,CellOne
40478,IDEA
40479,CellOne
40480,CellOne
40481,CellOne
40482,IDEA
40483,Reliance
40484,Vodafone IN
40485,Reliance
40486,Vodafone IN
40487,IDEA
40488,Vodafone IN
40489,IDEA
40490,IND airtel
40492,IND airtel
40493,IND airtel
40494,IND airtel
40495,IND airtel
40496,IND airtel
40497,IND airtel
40498,IND airtel
40501,Reliance
40505,Reliance
40506,Reliance
40507,Reliance
40509,Reliance
40510,Reliance
40511,Reliance
40513,Reliance
40515,Reliance
40518,Reliance
40519,Reliance
40520,Reliance
40521,Reliance
40522,Reliance
40525,TATA DOCOMO
40527,TATA DOCOMO
40529,TATA DOCOMO
40530,TATA DOCOMO
40531,TATA DOCOMO
40532,TATA DOCOMO
40534,TATA DOCOMO
40535,TATA DOCOMO
40536,TATA DOCOMO
40537,TATA DOCOMO
40538,TATA DOCOMO
40539,TATA DOCOMO
40541,TATA DOCOMO
40542,TATA DOCOMO
40543,TATA DOCOMO
40544,TATA DOCOMO
40545,TATA DOCOMO
40546,TATA DOCOMO
40547,TATA DOCOMO
40550,Reliance
40551,IND airtel
40552,IND airtel
40553,IND airtel
40554,IND airtel
40555,IND airtel
40556,IND airtel
40566,Vodafone IN
40567,Vodafone IN
40570,IDEA
405750,Vodafone IN
405751,Vodafone IN
405752,Vodafone IN
405753,Vodafone IN
405754,Vodafone IN
405755,Vodafone IN
405756,Vodafone IN
405799,IDEA
405800,Aircel
405801,Aircel
405802,Aircel
405803,Aircel
405804,Aircel
405805,Aircel
405806,Aircel
405818,IN UNITECH
405819,IN UNITECH
405823,VIDEOCON
405824,VIDEOCON
405825,VIDEOCON
405827,VIDEOCON
405828,VIDEOCON
405829,VIDEOCON
405830,VIDEOCON
405831,VIDEOCON
405832,VIDEOCON
405833,VIDEOCON
405834,VIDEOCON
405835,VIDEOCON
405836,VIDEOCON
405837,VIDEOCON
405838,VIDEOCON
405839,VIDEOCON
405840,IND-JIO
405841,VIDEOCON
405842,VIDEOCON
405843,VIDEOCON
405845,IDEA
405846,IDEA
405848,IDEA
405849,IDEA
405850,IDEA
405852,IDEA
405853,IDEA
405854,IND-JIO
405855,IND-JIO
405856,IND-JIO
405857,IND-JIO
405858,IND-JIO
405859,IND-JIO
405860,IND-JIO
405861,IND-JIO
405862,IND-JIO
405863,IND-JIO
405864,IND-JIO
405865,IND-JIO
405866,IND-JIO
405867,IND-JIO
405868,IND-JIO
405869,IND-JIO
405870,IND-JIO
405871,IND-JIO
405872,IND-JIO
405873,IND-JIO
405874,IND-JIO
405875,IN UNITECH
405876,IN UNITECH
405879,IN UNITECH
405912,etisalat
405913,etisalat
405914,etisalat
405915,etisalat
405916,etisalat
405917,etisalat
405918,etisalat
405919,etisalat
405920,etisalat
405921,etisalat
405922,etisalat
405923,etisalat
405924,etisalat
405927,IN UNITECH
405929,IN UNITECH
41001,Mobilink
41003,PK-UFONE
41004,ZONG
41006,Telenor PK
41007,WaridTel
41201,AF AWCC
41220,ROSHAN
41240,MTN AF
41250,Etisalat Af
41301,Mobitel LK
41302,DIALOG
41303,SRI Etisalat
41305,SRI AIRTEL
41308,Hutch
41401,MM 900
41405,Ooredoo
41406,Telenor
41501,alfa
41503,touch
41505,LBN OGERO Mobile
41601,Zain JO
41603,UMNIAH
41677,Orange
41701,SYRIATEL
41702,MTN
41709,SYR MOBILE SYR
41800,ASIACELL
41805,ASIACELL
41820,zain IQ
41830,IRAQNA
41840,KOREK
41902,Zain KW
41903,Ooredoo
41904,KT, VIVA
42001,STC
42003,Mobily-KSA
42004,Zain KSA
42101,SabaFon
42102,MTN
42104,Y-Telecom
42202,Omantel
42203,Ooredoo Oman
